Year,Service Area,obs,measure
2002,other,129.9,quality-adjusted-output-index-1997-base
2003,other,136.6,quality-adjusted-output-index-1997-base
2004,other,148.1,quality-adjusted-output-index-1997-base
2005,other,152.9,quality-adjusted-output-index-1997-base
2006,other,154.6,quality-adjusted-output-index-1997-base
2007,other,160.1,quality-adjusted-output-index-1997-base
2008,other,164.7,quality-adjusted-output-index-1997-base
2009,other,163.2,quality-adjusted-output-index-1997-base
2010,other,159.7,quality-adjusted-output-index-1997-base
2011,other,151.7,quality-adjusted-output-index-1997-base
2012,other,150.4,quality-adjusted-output-index-1997-base
2013,other,146.6,quality-adjusted-output-index-1997-base
2014,other,148.1,quality-adjusted-output-index-1997-base
2015,other,145.9,quality-adjusted-output-index-1997-base
2016,other,144.2,quality-adjusted-output-index-1997-base
2017,other,144.4,quality-adjusted-output-index-1997-base
2018,other,143.2,quality-adjusted-output-index-1997-base
2019,other,153.8,quality-adjusted-output-index-1997-base
2020,other,153.2,quality-adjusted-output-index-1997-base
1997,total,100.0,quality-adjusted-output-index-1997-base
1998,total,102.8,quality-adjusted-output-index-1997-base
1999,total,105.5,quality-adjusted-output-index-1997-base
2000,total,109.5,quality-adjusted-output-index-1997-base
2001,total,114.0,quality-adjusted-output-index-1997-base
2002,total,118.8,quality-adjusted-output-index-1997-base
2003,total,125.6,quality-adjusted-output-index-1997-base
2004,total,131.4,quality-adjusted-output-index-1997-base
2005,total,135.7,quality-adjusted-output-index-1997-base
2006,total,139.7,quality-adjusted-output-index-1997-base
2007,total,143.0,quality-adjusted-output-index-1997-base
2008,total,147.3,quality-adjusted-output-index-1997-base
2009,total,150.8,quality-adjusted-output-index-1997-base
2010,total,151.4,quality-adjusted-output-index-1997-base
2011,total,151.8,quality-adjusted-output-index-1997-base
2012,total,153.6,quality-adjusted-output-index-1997-base
2013,total,153.8,quality-adjusted-output-index-1997-base
2014,total,157.8,quality-adjusted-output-index-1997-base
2015,total,160.1,quality-adjusted-output-index-1997-base
2016,total,161.7,quality-adjusted-output-index-1997-base
2017,total,163.6,quality-adjusted-output-index-1997-base
2018,total,164.9,quality-adjusted-output-index-1997-base
2019,total,169.8,quality-adjusted-output-index-1997-base
2020,total,157.3,quality-adjusted-output-index-1997-base
1997,total-quality-adjustment-index,100.0,quality-adjusted-output-index-1997-base
1998,total-quality-adjustment-index,100.4,quality-adjusted-output-index-1997-base
1999,total-quality-adjustment-index,100.6,quality-adjusted-output-index-1997-base
2000,total-quality-adjustment-index,100.9,quality-adjusted-output-index-1997-base
2001,total-quality-adjustment-index,100.8,quality-adjusted-output-index-1997-base
2002,total-quality-adjustment-index,101.3,quality-adjusted-output-index-1997-base
2003,total-quality-adjustment-index,101.7,quality-adjusted-output-index-1997-base
2004,total-quality-adjustment-index,102.3,quality-adjusted-output-index-1997-base
2005,total-quality-adjustment-index,103.0,quality-adjusted-output-index-1997-base
2006,total-quality-adjustment-index,103.8,quality-adjusted-output-index-1997-base
2007,total-quality-adjustment-index,104.2,quality-adjusted-output-index-1997-base
2008,total-quality-adjustment-index,104.6,quality-adjusted-output-index-1997-base
2009,total-quality-adjustment-index,105.1,quality-adjusted-output-index-1997-base
2010,total-quality-adjustment-index,105.4,quality-adjusted-output-index-1997-base
2011,total-quality-adjustment-index,105.8,quality-adjusted-output-index-1997-base
2012,total-quality-adjustment-index,106.0,quality-adjusted-output-index-1997-base
2013,total-quality-adjustment-index,106.1,quality-adjusted-output-index-1997-base
2014,total-quality-adjustment-index,106.4,quality-adjusted-output-index-1997-base
2015,total-quality-adjustment-index,106.6,quality-adjusted-output-index-1997-base
2016,total-quality-adjustment-index,106.7,quality-adjusted-output-index-1997-base
2017,total-quality-adjustment-index,106.8,quality-adjusted-output-index-1997-base
2018,total-quality-adjustment-index,107.1,quality-adjusted-output-index-1997-base
2019,total-quality-adjustment-index,107.2,quality-adjusted-output-index-1997-base
2020,total-quality-adjustment-index,105.5,quality-adjusted-output-index-1997-base
1998,healthcare,104.5,input-indices-index-1997-base
1999,healthcare,107.4,input-indices-index-1997-base
2000,healthcare,113.2,input-indices-index-1997-base
2001,healthcare,117.2,input-indices-index-1997-base
2002,healthcare,125.8,input-indices-index-1997-base
2003,healthcare,132.9,input-indices-index-1997-base
2004,healthcare,138.9,input-indices-index-1997-base
2005,healthcare,146.7,input-indices-index-1997-base
2006,healthcare,150.9,input-indices-index-1997-base
2007,healthcare,156.9,input-indices-index-1997-base
2008,healthcare,165.9,input-indices-index-1997-base
2009,healthcare,178.3,input-indices-index-1997-base
2010,healthcare,182.3,input-indices-index-1997-base
2011,healthcare,184.1,input-indices-index-1997-base
2012,healthcare,187.6,input-indices-index-1997-base
2013,healthcare,189.1,input-indices-index-1997-base
2014,healthcare,194.5,input-indices-index-1997-base
2015,healthcare,201.9,input-indices-index-1997-base
2016,healthcare,205.4,input-indices-index-1997-base
2017,healthcare,207.7,input-indices-index-1997-base
2018,healthcare,214.7,input-indices-index-1997-base
2019,healthcare,214.3,input-indices-index-1997-base
2020,healthcare,259.8,input-indices-index-1997-base
1998,education,99.2,input-indices-index-1997-base
1999,education,98.5,input-indices-index-1997-base
2000,education,101.4,input-indices-index-1997-base
2001,education,103.9,input-indices-index-1997-base
2002,education,111.2,input-indices-index-1997-base
2003,education,113.3,input-indices-index-1997-base
2004,education,114.7,input-indices-index-1997-base
2005,education,118.9,input-indices-index-1997-base
2006,education,122.2,input-indices-index-1997-base
2007,education,124.6,input-indices-index-1997-base
2008,education,130.1,input-indices-index-1997-base
2009,education,135.3,input-indices-index-1997-base
2010,education,136.0,input-indices-index-1997-base
2011,education,137.1,input-indices-index-1997-base
2012,education,134.7,input-indices-index-1997-base
2013,education,136.5,input-indices-index-1997-base
2014,education,141.6,input-indices-index-1997-base
2015,education,141.4,input-indices-index-1997-base
2016,education,139.8,input-indices-index-1997-base
2017,education,140.7,input-indices-index-1997-base
2018,education,137.5,input-indices-index-1997-base
2019,education,137.5,input-indices-index-1997-base
2020,education,136.9,input-indices-index-1997-base
1998,adult-social-care,100.5,input-indices-index-1997-base
1999,adult-social-care,104.3,input-indices-index-1997-base
2000,adult-social-care,108.0,input-indices-index-1997-base
2001,adult-social-care,108.9,input-indices-index-1997-base
2002,adult-social-care,113.7,input-indices-index-1997-base
2003,adult-social-care,125.2,input-indices-index-1997-base
2004,adult-social-care,133.2,input-indices-index-1997-base
2005,adult-social-care,137.5,input-indices-index-1997-base
2006,adult-social-care,138.7,input-indices-index-1997-base
2007,adult-social-care,139.6,input-indices-index-1997-base
2008,adult-social-care,138.9,input-indices-index-1997-base
2009,adult-social-care,144.6,input-indices-index-1997-base
2010,adult-social-care,144.5,input-indices-index-1997-base
2011,adult-social-care,142.1,input-indices-index-1997-base
2012,adult-social-care,142.9,input-indices-index-1997-base
2013,adult-social-care,142.0,input-indices-index-1997-base
2014,adult-social-care,149.4,input-indices-index-1997-base
2015,adult-social-care,153.4,input-indices-index-1997-base
2016,adult-social-care,149.8,input-indices-index-1997-base
2017,adult-social-care,147.5,input-indices-index-1997-base
2018,adult-social-care,154.2,input-indices-index-1997-base
2019,adult-social-care,147.9,input-indices-index-1997-base
2020,adult-social-care,177.1,input-indices-index-1997-base
1998,social-security-administration,93.2,input-indices-index-1997-base
1999,social-security-administration,101.5,input-indices-index-1997-base
2000,social-security-administration,106.4,input-indices-index-1997-base
2001,social-security-administration,95.7,input-indices-index-1997-base
2002,social-security-administration,95.4,input-indices-index-1997-base
2003,social-security-administration,128.1,input-indices-index-1997-base
2004,social-security-administration,121.9,input-indices-index-1997-base
2005,social-security-administration,128.7,input-indices-index-1997-base
2006,social-security-administration,117.1,input-indices-index-1997-base
2007,social-security-administration,100.5,input-indices-index-1997-base
2008,social-security-administration,123.9,input-indices-index-1997-base
2009,social-security-administration,116.7,input-indices-index-1997-base
2010,social-security-administration,124.8,input-indices-index-1997-base
2011,social-security-administration,109.2,input-indices-index-1997-base
2012,social-security-administration,127.2,input-indices-index-1997-base
2013,social-security-administration,115.8,input-indices-index-1997-base
2014,social-security-administration,115.4,input-indices-index-1997-base
2015,social-security-administration,123.4,input-indices-index-1997-base
2016,social-security-administration,125.6,input-indices-index-1997-base
2017,social-security-administration,113.9,input-indices-index-1997-base
2018,social-security-administration,117.2,input-indices-index-1997-base
2019,social-security-administration,114.1,input-indices-index-1997-base
2020,social-security-administration,109.3,input-indices-index-1997-base
1998,children-s-social-care,105.4,input-indices-index-1997-base
1999,children-s-social-care,114.9,input-indices-index-1997-base
2000,children-s-social-care,116.6,input-indices-index-1997-base
2001,children-s-social-care,119.4,input-indices-index-1997-base
2002,children-s-social-care,128.0,input-indices-index-1997-base
2003,children-s-social-care,138.7,input-indices-index-1997-base
2004,children-s-social-care,146.2,input-indices-index-1997-base
2005,children-s-social-care,150.0,input-indices-index-1997-base
2006,children-s-social-care,158.2,input-indices-index-1997-base
2007,children-s-social-care,158.7,input-indices-index-1997-base
2008,children-s-social-care,153.1,input-indices-index-1997-base
2009,children-s-social-care,152.6,input-indices-index-1997-base
2010,children-s-social-care,155.0,input-indices-index-1997-base
2011,children-s-social-care,152.4,input-indices-index-1997-base
2012,children-s-social-care,153.1,input-indices-index-1997-base
2013,children-s-social-care,158.0,input-indices-index-1997-base
2014,children-s-social-care,175.4,input-indices-index-1997-base
2015,children-s-social-care,180.1,input-indices-index-1997-base
2016,children-s-social-care,181.7,input-indices-index-1997-base
2017,children-s-social-care,184.4,input-indices-index-1997-base
2018,children-s-social-care,189.5,input-indices-index-1997-base
2019,children-s-social-care,203.2,input-indices-index-1997-base
2020,children-s-social-care,200.4,input-indices-index-1997-base
1998,public-order-safety,96.1,input-indices-index-1997-base
1999,public-order-safety,109.5,input-indices-index-1997-base
2000,public-order-safety,120.6,input-indices-index-1997-base
2001,public-order-safety,123.3,input-indices-index-1997-base
2002,public-order-safety,129.8,input-indices-index-1997-base
2003,public-order-safety,136.7,input-indices-index-1997-base
2004,public-order-safety,142.9,input-indices-index-1997-base
2005,public-order-safety,145.6,input-indices-index-1997-base
2006,public-order-safety,145.4,input-indices-index-1997-base
2007,public-order-safety,144.1,input-indices-index-1997-base
2008,public-order-safety,150.5,input-indices-index-1997-base
2009,public-order-safety,152.3,input-indices-index-1997-base
2010,public-order-safety,153.0,input-indices-index-1997-base
2011,public-order-safety,145.4,input-indices-index-1997-base
2012,public-order-safety,141.4,input-indices-index-1997-base
2013,public-order-safety,136.3,input-indices-index-1997-base
2014,public-order-safety,127.4,input-indices-index-1997-base
2015,public-order-safety,120.8,input-indices-index-1997-base
2016,public-order-safety,115.4,input-indices-index-1997-base
2017,public-order-safety,120.2,input-indices-index-1997-base
2018,public-order-safety,120.0,input-indices-index-1997-base
2019,public-order-safety,112.4,input-indices-index-1997-base
2020,public-order-safety,117.8,input-indices-index-1997-base
1998,police,99.6,input-indices-index-1997-base
1999,police,98.5,input-indices-index-1997-base
2000,police,98.0,input-indices-index-1997-base
2001,police,99.9,input-indices-index-1997-base
2002,police,103.4,input-indices-index-1997-base
2003,police,108.4,input-indices-index-1997-base
2004,police,118.3,input-indices-index-1997-base
2005,police,116.5,input-indices-index-1997-base
2006,police,117.3,input-indices-index-1997-base
2007,police,124.1,input-indices-index-1997-base
2008,police,115.4,input-indices-index-1997-base
2009,police,121.0,input-indices-index-1997-base
2010,police,118.5,input-indices-index-1997-base
2011,police,109.9,input-indices-index-1997-base
2012,police,111.2,input-indices-index-1997-base
2013,police,105.8,input-indices-index-1997-base
2014,police,108.1,input-indices-index-1997-base
2015,police,107.4,input-indices-index-1997-base
2016,police,105.7,input-indices-index-1997-base
2017,police,105.2,input-indices-index-1997-base
2018,police,105.2,input-indices-index-1997-base
2019,police,104.2,input-indices-index-1997-base
2020,police,110.7,input-indices-index-1997-base
1998,defence,101.4,input-indices-index-1997-base
1999,defence,102.3,input-indices-index-1997-base
2000,defence,109.8,input-indices-index-1997-base
2001,defence,108.7,input-indices-index-1997-base
2002,defence,115.6,input-indices-index-1997-base
2003,defence,124.8,input-indices-index-1997-base
2004,defence,122.8,input-indices-index-1997-base
2005,defence,124.7,input-indices-index-1997-base
2006,defence,130.3,input-indices-index-1997-base
2007,defence,130.7,input-indices-index-1997-base
2008,defence,137.0,input-indices-index-1997-base
2009,defence,138.5,input-indices-index-1997-base
2010,defence,139.8,input-indices-index-1997-base
2011,defence,143.4,input-indices-index-1997-base
2012,defence,142.5,input-indices-index-1997-base
2013,defence,136.9,input-indices-index-1997-base
2014,defence,138.3,input-indices-index-1997-base
2015,defence,141.2,input-indices-index-1997-base
2016,defence,139.0,input-indices-index-1997-base
2017,defence,138.7,input-indices-index-1997-base
2018,defence,137.6,input-indices-index-1997-base
2019,defence,146.1,input-indices-index-1997-base
2020,defence,144.8,input-indices-index-1997-base
1998,other,104.3,input-indices-index-1997-base
1999,other,110.1,input-indices-index-1997-base
2000,other,114.3,input-indices-index-1997-base
2001,other,124.3,input-indices-index-1997-base
2002,other,129.9,input-indices-index-1997-base
2003,other,136.6,input-indices-index-1997-base
2004,other,148.1,input-indices-index-1997-base
2005,other,152.9,input-indices-index-1997-base
2006,other,154.6,input-indices-index-1997-base
2007,other,160.1,input-indices-index-1997-base
2008,other,164.7,input-indices-index-1997-base
2009,other,163.2,input-indices-index-1997-base
2010,other,159.7,input-indices-index-1997-base
2011,other,151.7,input-indices-index-1997-base
2012,other,150.4,input-indices-index-1997-base
2013,other,146.6,input-indices-index-1997-base
2014,other,148.1,input-indices-index-1997-base
2015,other,145.9,input-indices-index-1997-base
2016,other,144.2,input-indices-index-1997-base
2017,other,144.4,input-indices-index-1997-base
2018,other,143.2,input-indices-index-1997-base
2019,other,153.8,input-indices-index-1997-base
2020,other,153.2,input-indices-index-1997-base
1998,total,101.9,input-indices-index-1997-base
1999,total,105.0,input-indices-index-1997-base
2000,total,109.8,input-indices-index-1997-base
2001,total,113.2,input-indices-index-1997-base
2002,total,120.0,input-indices-index-1997-base
2003,total,127.1,input-indices-index-1997-base
2004,total,132.4,input-indices-index-1997-base
2005,total,137.1,input-indices-index-1997-base
2006,total,139.9,input-indices-index-1997-base
2007,total,143.2,input-indices-index-1997-base
2008,total,148.6,input-indices-index-1997-base
2009,total,153.8,input-indices-index-1997-base
2010,total,154.7,input-indices-index-1997-base
2011,total,152.9,input-indices-index-1997-base
2012,total,153.5,input-indices-index-1997-base
2013,total,152.2,input-indices-index-1997-base
2014,total,155.8,input-indices-index-1997-base
2015,total,158.0,input-indices-index-1997-base
2016,total,157.7,input-indices-index-1997-base
2017,total,158.3,input-indices-index-1997-base
2018,total,159.9,input-indices-index-1997-base
2019,total,162.3,input-indices-index-1997-base
2020,total,177.3,input-indices-index-1997-base
